occupation,age,gender,education,years_of_experience,current_salary,salary_10_years,salary_growth,growth_percentage
Business Analyst,36,Male,PhD,10,128296,231389,103093,80.35558396208768
Product Manager,40,Female,Master,10,152967,324179,171212,111.92740917975772
Product Manager,43,Other,PhD,20,217100,503443,286343,131.8945186549977
Designer,54,Male,Bachelor,11,100714,146239,45525,45.20225589292452
Consultant,63,Other,High School,27,120512,193422,72910,60.50019915029209
Data Engineer,24,Other,PhD,0,174448,501501,327053,187.478790241218
Product Manager,39,Other,High School,3,102971,176306,73335,71.21908110050403
Data Scientist,47,Male,Bachelor,20,145711,286635,140924,96.71472984194742
Business Analyst,29,Male,PhD,6,116591,222636,106045,90.95470490861216
Software Engineer,61,Female,PhD,3,160129,425255,265126,165.5702589786984
Designer,25,Female,Bachelor,1,88158,135602,47444,53.81701036774882
Data Scientist,31,Female,Bachelor,3,121260,238536,117276,96.71449777337952
Project Manager,61,Other,Bachelor,20,104031,165463,61432,59.051628841403044
Data Scientist,45,Male,Master,12,151925,340347,188422,124.0230376830673
Software Engineer,30,Other,High School,7,113835,219780,105945,93.0689155356437
Project Manager,32,Other,PhD,2,116966,224770,107804,92.16695449959818
Data Engineer,26,Male,Master,1,150453,386703,236250,157.0257821379434
Consultant,30,Other,PhD,7,144726,315357,170631,117.89934082334894
Software Engineer,44,Other,PhD,4,182994,510310,327316,178.86706667978186
Project Manager,56,Other,Bachelor,0,74220,118048,43828,59.051468606844516
Data Engineer,47,Male,High School,22,145296,269556,124260,85.5219689461513
Business Analyst,36,Male,Master,14,106234,179750,73516,69.20195041135607
Data Engineer,53,Other,Master,3,150293,341379,191086,127.142315344028
Business Analyst,36,Male,Master,10,101586,171885,70299,69.20146476876735
Business Analyst,43,Other,Master,1,94083,159190,65107,69.20166236195699
Consultant,49,Female,High School,27,111537,183419,71882,64.4467755094722
DevOps Engineer,32,Female,Bachelor,9,122389,240757,118368,96.7145740221752
Consultant,54,Female,Master,0,104455,202426,97971,93.79254224307118
Consultant,62,Male,PhD,2,114216,239707,125491,109.87164670448975
Project Manager,58,Male,Master,32,123028,214167,91139,74.07988425399095
Project Manager,53,Other,Master,31,134237,233680,99443,74.08017163673205
DevOps Engineer,33,Female,High School,6,106755,190282,83527,78.2417685354316
Software Engineer,38,Male,High School,16,147474,284726,137252,93.06860870390713
